Temperature/K,Pressure/kPa,Specific_density[Liquid]/kg/m3,cmp1ID,cmp1name,SMILES,Viscosity[Liquid]/Pa&#8226;s,Electrical_conductivity[Liquid]/S/m
308,101.325,1441.0,ABWPJz,"1,1,3,3-tetramethyl-4-ethylguanidinium bromotrichloroferrate(III)",CC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),0.03608,0.1612
303,101.325,1452.0,ABWPJz,"1,1,3,3-tetramethyl-4-ethylguanidinium bromotrichloroferrate(III)",CC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),0.04441,0.1594
298,101.325,1462.0,ABWPJz,"1,1,3,3-tetramethyl-4-ethylguanidinium bromotrichloroferrate(III)",CC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),0.05565,0.155
293,101.325,1476.0,ABWPJz,"1,1,3,3-tetramethyl-4-ethylguanidinium bromotrichloroferrate(III)",CC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),0.0708,0.149
288,101.325,1488.0,ABWPJz,"1,1,3,3-tetramethyl-4-ethylguanidinium bromotrichloroferrate(III)",CC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),0.0922,0.1426
283,101.325,1509.0,ABWPJz,"1,1,3,3-tetramethyl-4-ethylguanidinium bromotrichloroferrate(III)",CC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),0.1256,0.1363
333,101.325,1457.7,ABZTca,1-propylpyridinium bis((trifluoromethyl)sulfonyl)amide,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CC)[N+]1=CC=CC=C1,0.0149,1.223
313,101.325,1281.0,ABmZNI,"1,1,3,3-tetramethyl-4-octylguanidinium bromotrichloroferrate(III)",CCCCCCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),0.0693,0.0769
308,101.325,1292.0,ABmZNI,"1,1,3,3-tetramethyl-4-octylguanidinium bromotrichloroferrate(III)",CCCCCCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),0.0887,0.0741
303,101.325,1303.0,ABmZNI,"1,1,3,3-tetramethyl-4-octylguanidinium bromotrichloroferrate(III)",CCCCCCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),0.1167,0.0679
293,101.325,1330.0,ABmZNI,"1,1,3,3-tetramethyl-4-octylguanidinium bromotrichloroferrate(III)",CCCCCCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),0.2132,0.0512
288,101.325,1340.0,ABmZNI,"1,1,3,3-tetramethyl-4-octylguanidinium bromotrichloroferrate(III)",CCCCCCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),0.2993,0.0421
283,101.325,1352.0,ABmZNI,"1,1,3,3-tetramethyl-4-octylguanidinium bromotrichloroferrate(III)",CCCCCCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),0.431,0.0339
298,101.325,1314.0,ABmZNI,"1,1,3,3-tetramethyl-4-octylguanidinium bromotrichloroferrate(III)",CCCCCCCC[NH+]=C(N(C)(C))N(C)C.[Fe-](Br)(Cl)(Cl)(Cl),0.1555,0.0601
338,101.325,1453.1,ABZTca,1-propylpyridinium bis((trifluoromethyl)sulfonyl)amide,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CC)[N+]1=CC=CC=C1,0.0135,1.365
